Species,Clade,Subspecies,Latitude,Longitude
Phacellodomus rufifrons ,Northern,inornatus/castilloi,10.95,-68.32
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.9394,-69.6947
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.9394,-69.6947
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.85,-68.3667
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.8315,-68.2688
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.7626,-68.4165
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.7626,-68.4165
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.7626,-68.4165
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.6013,-66.3126
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.5889,-66.3385
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.58,-66.93
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.58,-66.93
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.5653,-63.1201
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.5653,-63.1201
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.5605,-63.1222
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.559,-68.3705
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.5108,-68.2769
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4865,-68.2716
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4858,-68.3279
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.48,-66.82
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.48,-66.82
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.48,-66.82
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.472,-66.103
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4705,-66.815
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.46667,-67.28333
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4576,-68.8089
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4576,-68.8089
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4549,-68.7926
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4404,-66.0751
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4232,-67.7735
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.42,-66.7875
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4136,-66.2624
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4071,-66.3765
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4055,-66.7525
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.403,-66.7495
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.4008,-67.7925
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3995,-67.7904
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3995,-67.7904
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3718,-67.3232
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.369,-67.591
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.369,-67.591
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3667,-68.8357
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3667,-68.8357
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3667,-68.8357
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3616,-65.9671
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3616,-65.9671
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3616,-65.9671
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3616,-65.9671
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3238,-68.8552
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3238,-68.8552
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3238,-68.8552
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3238,-68.8552
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3238,-68.8552
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3238,-68.8552
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3238,-68.8552
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3182,-67.6503
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3182,-67.6503
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3169,-68.6852
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3169,-68.6852
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3033,-66.8716
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3033,-66.8716
Phacellodomus rufifrons,Northern,inornatus/castilloi,10.3033,-66.8716
